pdf_path,file_name,parsed_company,parsed_stock_code,parsed_report_type,parsed_period,parse_status
data/00_raw_pdfs/000333_美的集团_2025年年度报告_part1.pdf,000333_美的集团_2025年年度报告_part1.pdf,美的集团,000333,年报,2025,llm_ok
data/00_raw_pdfs/000333_美的集团_2025年年度报告_part2.pdf,000333_美的集团_2025年年度报告_part2.pdf,美的集团,000333,年报,2025,llm_ok
data/00_raw_pdfs/002594_比亚迪_2025年年度报告_part1.pdf,002594_比亚迪_2025年年度报告_part1.pdf,比亚迪,002594,年报,2025,llm_ok
data/00_raw_pdfs/002594_比亚迪_2025年年度报告_part2.pdf,002594_比亚迪_2025年年度报告_part2.pdf,比亚迪,002594,年报,2025,llm_ok
data/00_raw_pdfs/300750_宁德时代_2025年年度报告_part1.pdf,300750_宁德时代_2025年年度报告_part1.pdf,宁德时代,300750,年报,2025,llm_ok
data/00_raw_pdfs/300750_宁德时代_2025年年度报告_part2.pdf,300750_宁德时代_2025年年度报告_part2.pdf,宁德时代,300750,年报,2025,llm_ok
data/00_raw_pdfs/600036_招商银行_2025年年度报告_part1.pdf,600036_招商银行_2025年年度报告_part1.pdf,招商银行,600036,年报,2025,llm_ok
data/00_raw_pdfs/600036_招商银行_2025年年度报告_part2.pdf,600036_招商银行_2025年年度报告_part2.pdf,招商银行,600036,年报,2025,llm_ok
data/00_raw_pdfs/600276_恒瑞医药_2025年年度报告_part1.pdf,600276_恒瑞医药_2025年年度报告_part1.pdf,恒瑞医药,600276,年报,2025,llm_ok
data/00_raw_pdfs/600276_恒瑞医药_2025年年度报告_part2.pdf,600276_恒瑞医药_2025年年度报告_part2.pdf,恒瑞医药,600276,年报,2025,llm_ok
data/00_raw_pdfs/600519_贵州茅台_2025年年度报告.pdf,600519_贵州茅台_2025年年度报告.pdf,贵州茅台,600519,年报,2025,llm_ok
data/00_raw_pdfs/600900_长江电力_2025年年度报告_part1.pdf,600900_长江电力_2025年年度报告_part1.pdf,长江电力,600900,年报,2025,llm_ok
data/00_raw_pdfs/600900_长江电力_2025年年度报告_part2.pdf,600900_长江电力_2025年年度报告_part2.pdf,长江电力,600900,年报,2025,llm_ok
data/00_raw_pdfs/600941_中国移动_2025年年度报告_part1.pdf,600941_中国移动_2025年年度报告_part1.pdf,中国移动,600941,年报,2025,llm_ok
data/00_raw_pdfs/600941_中国移动_2025年年度报告_part2.pdf,600941_中国移动_2025年年度报告_part2.pdf,中国移动,600941,年报,2025,llm_ok
data/00_raw_pdfs/601318_中国平安_2025年年度报告_part1.pdf,601318_中国平安_2025年年度报告_part1.pdf,中国平安,601318,年报,2025,llm_ok
data/00_raw_pdfs/601318_中国平安_2025年年度报告_part2.pdf,601318_中国平安_2025年年度报告_part2.pdf,中国平安,601318,年报,2025,llm_ok
data/00_raw_pdfs/688981_中芯国际_2025年年度报告_part1.pdf,688981_中芯国际_2025年年度报告_part1.pdf,中芯国际,688981,年报,2025,llm_ok
data/00_raw_pdfs/688981_中芯国际_2025年年度报告_part2.pdf,688981_中芯国际_2025年年度报告_part2.pdf,中芯国际,688981,年报,2025,llm_ok
